sample_id,price
158784,12.195
4095,38.54
172021,17.86
268276,2.9400000000000004
154791,25.99
242347,41.51
148621,59.2
173571,24.92
196574,82.01
277682,19.285
112608,14.99
142716,27.61
198956,23.81
20265,93.46
205372,9.99
24380,6.21
219387,28.79
169151,13.4
36733,4.44
209036,23.0
137097,9.065
286607,8.36
107699,38.92
54586,15.0
149790,42.11
45960,13.95
100250,16.88
84525,26.49
161336,43.67
297905,16.99
97915,6.69
237608,30.43
95219,15.59
240647,8.99
124235,9.49
95705,44.42
224893,10.98
214768,13.99
32427,6.29
268677,4.85
11039,14.99
84680,5.135
134783,4.045
139367,12.425
270754,27.49
224265,2.63
280794,40.24
277033,76.44
282524,11.815
31690,3.65
255336,1.98
275240,17.485
120313,9.99
63331,26.79
149424,9.99
96261,41.24
175878,16.38
262064,4.515000000000001
275775,1.59
253140,5.46
277838,17.39
189003,18.23
149543,59.48
37143,13.69
74921,18.99
71747,36.83
161016,30.91
83423,4.13
86892,47.15
273042,4.715
239046,29.77
143570,86.02
214626,16.95
45073,80.99
21545,2.49
207181,39.99
67318,37.34
283637,1.97
253197,7.27
40690,18.785
260655,23.25
167028,27.74
50453,24.99
218767,7.04
218412,600.59
269134,6.43
225044,11.06
53461,25.99
264951,8.85
289936,22.06
166733,4.39
210250,59.99
209916,16.0
277572,6.18
153516,55.18
284307,2.245
17648,1.99
41783,2.495
215548,4.335
105713,12.0
177651,10.395
108423,21.39
92661,20.14
177308,7.95
259644,7.73
254418,14.825
210401,8.17
272437,22.96
226126,8.74
125699,14.5
251681,9.75
17594,10.4
239395,27.45
80386,3.61
124670,61.95
110569,25.63
236400,13.99
114937,17.49
127407,19.54
92843,9.99
153699,1.0
223391,5.48
170748,6.845
24711,129.28
200885,13.99
161457,7.99
259852,10.01
264158,19.36
20819,64.31
83527,10.695
106635,24.95
39285,31.26
209579,1.68
152966,10.0
4703,19.0
112112,24.99
106194,29.95
277314,10.99
167397,34.99
6172,71.525
264975,25.99
44636,24.79
71412,3.19
17712,18.985
93431,9.745
149291,3.98
138453,9.875
108176,43.99
5117,29.41
179945,12.99
18872,52.41
155274,35.91
3347,6.18
37313,18.99
45735,49.745000000000005
120311,7.955
242879,16.29
2756,56.56
275537,4.79
274304,6.359999999999999
79303,47.290000000000006
25548,5.640000000000001
209164,34.95
132328,16.95
235093,48.56
296750,3.0700000000000003
114635,19.99
226520,7.98
116684,4.99
59416,31.28
298168,9.97
63847,5.09
229711,17.99
282892,4.975
32380,27.95
7437,2.29
35557,15.58
166584,12.48
136471,18.95
279462,10.49
199984,8.62
250078,54.99
23604,35.480000000000004
150600,42.0
256995,18.56
188243,24.99
293357,79.17
264463,2.99
32496,20.93
49791,4.82
83170,10.0
125782,49.95
79536,3.69
72552,26.73
103249,23.99
279046,4.44
12548,35.44
245156,2.4400000000000004
147107,2.87
286558,8.54
170,36.37
82144,26.895
29593,16.46
153908,4.04
101861,4.79
259348,12.1
117722,23.94
227250,14.94
288755,7.99
174906,16.99
240941,72.84
129710,27.91
283459,2.8
